"","Year","Month","Stock_Vw_Ret","Stock_Ew_Ret","Stock_lag_MV"
"1",1926,1,0.000247180482040281,0.0234050475206612,26903952.5625
"2",1926,2,-0.0338886685668784,-0.053836537525355,27032345.25
"3",1926,3,-0.0649033247948447,-0.0974007715430862,26162083.6875
"4",1926,4,0.0366096401637987,0.0316093824701195,24506934.1875
"5",1926,5,0.0123035418861394,0.000904484251968505,25296194.5625
"6",1926,6,0.0544026009199517,0.0498888332149314,25587309.25
"7",1926,7,0.031226039589796,0.0127215039840637,25587309.25
"8",1926,8,0.0288715079341538,0.0304644691119691,26937267.125
"9",1926,9,0.00582063259928636,-0.00663076356589148,28424773.75
"10",1926,10,-0.0291681458167859,-0.0345276208897485,28308141.5625
"11",1926,11,0.0278439134195809,0.0246087413793103,27501095.375
"12",1926,12,0.0293355290219524,0.0242655954198473,28281302.625
"13",1927,1,0.00188801672250488,0.0119555171102662,29615346.5625
"14",1927,2,0.0444647149351987,0.0575454952741021,29783695.3125
"15",1927,3,0.00424405200336846,-0.0191877132075472,31217836.9375
"16",1927,4,0.00727859269490888,0.00752254104477612,31199380.1875
"17",1927,5,0.0574646786465502,0.0629864179104478,31452864.5625
"18",1927,6,-0.0207879846873836,-0.0179796043956044,33469629.1875
"19",1927,7,0.0751438627567991,0.0583997996323529,32783069.4375
"20",1927,8,0.0233237183964404,0.00712915693430657,35015154
"21",1927,9,0.0505725872821007,0.0319705333333333,35793629.8125
"22",1927,10,-0.0403569108372304,-0.0385864982269504,39052717.1875
"23",1927,11,0.0676176947771608,0.0975794902998236,37295541.0625
"24",1927,12,0.0245305144891637,0.0308546889279438,39512042.0625
"25",1928,1,-0.0039688547688033,0.0320679458987784,40899814.0625
"26",1928,2,-0.0134862611957973,-0.0221225993031359,40131604.75
"27",1928,3,0.0906565932236719,0.0731294798598949,39404019.625
"28",1928,4,0.0443032276001458,0.0872803771929825,42920254
"29",1928,5,0.0184480839729583,0.044395,44712654.5
"30",1928,6,-0.0451178521499415,-0.0701875026269702,45655523.4375
"31",1928,7,0.00898234810147746,0.00106032068965517,43615929.9375
"32",1928,8,0.0695077684193634,0.0578898476027397,44218221.25
"33",1928,9,0.0313788158999379,0.0502339437819421,47406648.8125
"34",1928,10,0.0172214509513751,0.0170319577702703,49010121.4375
"35",1928,11,0.121577336060377,0.116075212730318,50023732.1875
"36",1928,12,0.00432444915568101,-0.00471539534883721,56214138
"37",1929,1,0.0501671347866266,0.0337091402640264,58301298.25
"38",1929,2,0.000204349210341354,0.00621890016366612,61869494.3125
"39",1929,3,-0.00512988248839166,-0.03295078802589,61098821.375
"40",1929,4,0.0178933509282369,0.0152429840764331,61219707.875
"41",1929,5,-0.0591296973868396,-0.0912417045813586,63655318.25
"42",1929,6,0.102244459897125,0.0742520385208012,60690745.125
"43",1929,7,0.0456432665890859,0.0202646396946565,66689186.75
"44",1929,8,0.0873901460440858,0.0274624636363636,69819106.1875
"45",1929,9,-0.050599093914891,-0.0442429926253687,77225860.5625
"46",1929,10,-0.195253236766145,-0.210855236802413,74380039.625
"47",1929,11,-0.124703502116707,-0.129488399941083,60498277
"48",1929,12,0.0170548140291676,-0.0261845774240232,52780124.125
"49",1930,1,0.0553752345896155,0.105116059568144,55151945.6875
